id,labels
413212,2 3 6 8
94575,2 3 6 8
290328,2 3 6 8
428989,2 3 6 8
69979,2 3 6 8
177338,2 3 6 8
75654,0 3 8
96019,2 4 5 6
97021,5 6 8
223279,1 2 4 5 6 7
470595,1 2 4 5 6 7
97647,1 2 4 5 6
107794,1 2 4 5 6
252554,1 2 4 5 6
269413,8
427253,1 2 4 5 6
388935,1 2 4 5 6
329580,
301164,8
430878,1 2 4 5 6 7
107328,1 2 4 5 6 8
218239,3 5 8
354001,0 8
446679,2 5 6 8
375079,5 6 8
55646,5 6 8
104334,0 3 8
471962,0 3 8
267648,0 3 8
129998,0 3 8
202790,0 3 8
463667,1 2 5 6 7
222278,1 2 5 6 7
280948,2 4 5 6
306650,2 4 5 6
5811,2 4 5 6
205565,2 4 5 6
162607,0 1 5 6 8
37515,0 1 5 6 8
290566,1 5 6
42417,1 3 5 6
441019,1 2 3 5 6 7
111364,1 2 3 5 6 7
300089,1 2 3 5 6 7
139235,1 3 5 6
332731,1 3 5 6
367266,1 2 5 6 8
369606,0 3
310659,0 3
220495,1 2 4 5 6
364424,1 2 4 5 6
193587,1 2 4 5 6
122767,1 2 4 5 6
333771,2 3 6 8
313926,2 3 6 8
151913,2 3 6 8
414707,0 3 8
36613,0 3 8
73718,0 3 8
118316,0 3 8
344399,1 2 3 5 6 8
105536,1 2 4 5 6 7
66642,1 2 4 5 6 7
451635,1 2 4 5 6 7
301244,1 2 4 5 6 7
379621,1 2 4 5 6 7
20900,1 2 4 5 6 7
417759,1 2 4 5 6 7
463110,1 2 4 5 6 7
175697,1 2 4 5 6 7
409504,3 5 6 8
430305,3 5 6 8
291092,3 5 6 8
452833,3 5 6 8
469066,1 2 4 5 6 7 8
8297,0 6 8
152846,0 6 8
438826,1 2 4 6 7
177777,1 2 3 4 5 6 7
127611,1 2 3 4 5 6 7
369805,1 2 3 4 5 6 7
4316,0 1 8
58139,0 8
52166,1 2 5 6 8
319473,1 2 3 5 6
263621,1 2 4 5 6 7
13291,1 4 5 6 7 8
363189,1 2 3 5 6 7
318249,1 2 3 5 6 7
29576,0 8
83867,8
383454,1 8
140821,1 2 5 6 8
229000,1 2 5 6 8
444943,1 2 5 6 8
427369,1 2 5 6 8
139211,1 2 5 6 8
224950,1 2 3 4 5 6 7
19239,1 2 4 5 6 7
467347,1 2 4 5 6 7
224598,1 2 4 5 6 7
9544,1 2 4 5 6 7
396828,1 2 4 5 6 7
99024,1 2 4 5 6
328597,1 2 4 5 6
88044,1 2 4 5 6
355365,1 2 5 6 8
281234,1 2 4 5 6
215666,1 2 5 6 8
40624,1 2 5 6 8
28638,1 2 5 6 8
413086,1 2 5 6 8
268134,1 2 4 5 6 7
370404,1 2 3 4 5 6 7
64515,1 2 5 6 8
870,1 2 4 5 6 7
239140,6 8
242181,6 8
39373,6 8
259371,1 2 3 4 5 6 7
315565,1 2 3 4 5 6 7
172335,0 8
192112,0 8
193827,0 8
108245,1 2 4 5 6 7
103968,1 2 4 5 6 7
68382,1 2 4 5 6 7
251344,1 2 4 5 6 7
287513,1 2 4 5 6 7
263253,1 2 3 5 6 7 8
211360,1 2 3 5 6 7 8
176824,1 2 3 5 6 7 8
24261,1 2 3 5 6 7 8
301613,1 2 3 5 6 7 8
55203,3 8
280669,0 1 5 6 8
118953,1 2 4 5 6 7
86531,1 2 4 5 6 7
242108,1 2 4 5 6 7
69176,0 8
322159,0 3 8
132029,3 5 6 7
104785,3 5 6 7
202153,3 5 6 7
250031,3 5 6 7
350657,3 5 6 7
269762,3 5 6 7
93511,1 2 3 4 5 6 7
53464,1 2 3 4 5 6 7
90076,1 2 3 4 5 6 7
43787,1 2 3 4 5 6 7
422286,1 2 3 4 5 6 7
228593,1 2 3 4 5 6 7
116830,1 2 4 5 6 7 8
289281,1 2 4 6 7
456770,1 5 6 7
44056,1 5 6 7
128542,1 5 6 7
373344,1 5 6 7
97266,0 3 8
412022,1 2 4 5 6
218866,0 1 3 5
291937,1 2 3 4 5 6 7 8
39500,1 2 3 4 5 6 7 8
27450,1 2 3 4 5 6 7
343632,1 2 3 4 5 6 7
222818,1 2 3 4 5 6 7
297573,1 2 3 4 5 6 7
189693,1 2 3 4 5 6 7
86741,1 2 5 6 8
257527,1 2 5 6 8
377423,1 2 5 6 8
71338,1 2 5 6 8
84678,1 2 5 6 8
327422,1 2 5 6 8
208396,3 5 6 8
31599,3 5 6 8
317922,1 2 3 5 6 8
144548,1 2 3 4 5 6 7
309618,1 2 3 4 5 6 7
361108,1 2 3 4 5 6 7
169148,1 2 4 5 6 7
415298,1 2 5 6 7
365498,1 2 3 4 5 6
363299,2 5 6 8
320893,2 5 6 8
162376,2 5 6 8
250472,2 5 6 8
309660,0 2 5 8
219759,0 2 5 8
158321,0 2 5 8
204690,1 2 3 4 5 6 7
9224,1 2 3 4 5 6 7
120615,1 2 3 4 5 6 7
227805,1 2 3 4 5 6 7
268014,0 8
430873,0 8
170097,0 8
180231,0 8
51074,0 8
403719,0 8
303337,0 3 8
385106,0 3 8
79815,0 3 8
40052,0 3 8
446807,1 2 3 4 5 6 7
2225,1 2 3 4 5 6 7
450845,1 2 3 4 5 6 7
462208,1 2 3 4 5 6 7
84245,1 2 3 4 5 6 7
423942,0 3 8
291085,1 2 3 4 5 6
150625,1
102892,1
107659,1 2 5 6 8
226880,1 2 4 5 6 7
376919,1 2 4 5 6 7
15593,1 2 3 5 6
453622,1 2 4 5 6 7
344243,1 2 4 5 6 7
432506,1 2 3 4 5 6
131397,2 5 6
92496,1 2 4 5 6 7
210309,2 5 6 8
324520,2 5 6 8
309048,2 5 6 8
206133,2 5 6 8
167303,1 2 4 5 6 7
76484,1 2 4 5 6 7
412448,1 2 4 5 6 7
162794,1 2 4 5 6 7
117433,1 2 4 5 6 7
157472,1 2 4 5 6 7
124520,1 2 4 5 6 7
190658,1 2 4 5 6 7
411667,1 2 4 5 6 7
397022,1 2 4 5 6 7
151533,1 2 6 8
46664,0 3 5 8
438929,1 2 3 5 6 7
54955,2 4 5 6 7 8
283456,2 4 5 6 7 8
314764,2 4 5 6 7 8
305030,1 2 3 5 6 7
445956,1 2 3 5 6 7
456735,1 2 3 5 6 7
195684,1 2 4 5 6
368360,1 2 5 6 7 8
174831,1 2 4 5 6
201941,1 2 4 5 6
350138,1 2 4 5 6
343643,1 2 3 4 5 6
160989,1 2 3 4 5 6
248234,1 2 4 5 6
237790,1 2 3 4 5 6
382874,1 2 3 4 5 6
239534,1 2 3 4 5 6
462307,1 2 3 5 6 7
242827,1 2 3 4 5 6 7
169235,1 2 5 6 8
209268,1 2 5 6
118830,1 2 5 6
380616,6 8
352599,1 2 3 4 5 6
213844,1 2 3 4 5 6
379560,1 2 3 4 5 6
379677,1 2 3 4 5 6
123125,1 2 3 4 5 6 7
234852,1 2 3 4 5 6 7
396582,1 2 3 4 5 6 7
28308,1 2 3 4 5 6 7
433825,1 2 3 4 5 6 7
172056,1 2 3 4 5 6 7
113537,1 2 4 5 6
272924,1 2 4 5 6
310718,1 2 4 5 6 7
137412,1 2 4 5 6 7
117773,1 2 4 5 6 7
386957,1 2 4 5 6 7
344094,1 2 5 6
165453,1 2 5 6
423197,1 2 5 6
439735,1 2 3 4 5 6
138559,1 2 3 4 5 6
177214,1 2 3 4 5 6
38475,1 2 3 4 5 6
45366,1 2 3 4 5 6
447436,0 3 8
8867,0 1 8
440234,1 2 3 5 6
436449,1 2 3 5 6
407112,1 2 3 5 6
72444,1 2 5 6
228670,1 2 5 6
210573,1 2 3 4 5 6 7
299090,1 2 3 5 6 7
129292,1 2 3 5 6 7
45019,1 2 3 5 6 7
293057,1 2 4 5 6
96553,1 2 4 5 6
349804,1 2 4 5 6
406339,1 2 4 5 6
426380,3 8
464902,3 8
406917,3 8
166119,1 2 4 5 6 7
346723,3 6 8
85852,3 6 8
11228,3 5 6 8
190886,3 5 6 8
9298,0 2 5 6 7 8
286800,1 2 4 5 6
116004,1 2 4 5 6
219728,1 2 5 6
246400,1 2 5 6
52928,1 2 5 6
148141,1 2 4 5 6 7
311728,1 2 4 5 6 7
278854,1 2 3 5 6
278942,1 2 3 5 6
353286,1 2 5 6 7
39722,1 2 5 6 7
55574,1 2 5 6 7
131676,0 8
96337,0 1 3 5 6
48723,3 8
344744,8
99967,8
255670,8
305946,8
198926,0 3 8
143464,1 2 3 5 6 8
16442,1 2 3 5 6 8
354814,1 2 3 5 6 8
115677,1 2 3 5 6 8
372592,1 2 3 5 6 8
442328,1 2 3 5 6 8
29951,1 2 3 5 6 8
265414,1 2 4 5 6 7
397885,1 2 4 5 6 7
54557,1 2 4 5 6 7
192965,1 2 4 5 6 7
328013,1 2 3 5 6
259717,1 2 3 4 5 6 7
195539,1 2 3 4 5 6
470276,1 2 3 4 5 6
304609,1 2 3 4 5 6
176320,1 2 3 4 5 6
341435,1 2 3 5 6 7
356,1 2 3 4 5 6 7
261552,1 2 3 4 5 6 7
180051,1 2 3 4 5 6 7
413039,1 2 3 4 5 6 7
408760,1 2 3 4 5 6 7
281956,1 2 3 4 5 6 7
159513,1 2 3 4 5 6 7
346870,1 2 3 4 5 6 7
155876,1 2 3 4 5 6 7
256503,1 2 3 4 5 6 7
205488,1 2 3 4 5 6 7
61875,1 2 3 4 5 6
88594,1 2 3 4 5 6
51960,1 2 3 4 5 6
185483,1 2 3 4 5 6
256323,1 2 4 5 6 7
462492,1 2 4 5 6 7
367819,0 1 3 5
367838,1 2 5 6 8
344785,1 2 5 6 8
116683,1 2 5 6 8
161267,1 2 3 4 5 6 7
44297,1 2 3 4 5 6 7
460012,1 2 3 4 5 6 7
190720,1 2 3 4 5 6 7
149945,1 2 3 4 5 6 7
361770,1 2 3 4 5 6 7
113992,1 2 3 4 5 6 7
327,1 2 3 4 5 6 7
450123,1 2 3 4 5 6 7
171221,1 2 3 4 5 6 7
466936,1 2 3 4 5 6 7
17715,1 2 3 4 5 6 7
470096,1 2 3 4 5 6 7
293667,1 2 3 4 5 6 7
279358,3 6
422416,3 6
360784,3 6
8840,3 6
78890,3 6
202826,3 6
27741,3 6
113495,3 6
120478,3 6
116648,3 6
412142,3 6
134246,3 6
342482,3 6
170769,3 6
404923,3 6
29118,3 6
343581,3 6
14588,3 6
207988,3 6
385579,3 6
426886,3 6
427846,3 6
29865,3 6
437124,3 6
84716,3 6
446692,3 6
131639,3 6
237581,3 6
193312,3 6
222837,3 6
388830,3 6
360333,3 6
14672,3 6
281102,3 6
202438,3 6
234554,3 6
162293,3 6
334741,3 6
104912,3 6
73675,1 2 4 5 6 7
436025,1 2 4 5 6 7
135385,1 2 4 5 6 7
208942,1 2 4 5 6 7
360886,1 2 4 5 6 7
169873,1 2 4 5 6
319090,1 2 4 5 6
171666,1 2 4 5 6
47360,1 2 4 5 6
123460,1 2 3 4 5 6 7
131184,0 1 3 5 6 8
226838,0 1 3 5 6 8
128524,0 1 3 5 6 8
199533,0 1 3 5 6 8
252739,0 1 3 5 6 8
112019,0 3 8
14569,8
116848,2 4 5 6 7 8
188329,2 4 5 6 7 8
95583,2 4 5 6 7 8
258787,2 6
295394,1 2 4 5 6 7
277026,1 2 3 4 5 6 7
93098,0 3 5 8
253522,1 2 3 4 5 6
267147,1 2 4 5 6 7
160375,1 2 4 5 6 7
468019,1 2 4 5 6 7
137832,1 2 4 5 6
148286,1 4 5 6 8
313319,1 4 5 6 8
219018,1 2 4 5 6
40610,1 4 5 6 8
170351,1 4 5 6 8
183488,1 2 3 4 5 6 7
136908,1 2 3 4 5 6 7
439164,1 2 3 4 5 6 7
386289,1 4 5 6 8
461341,1 4 5 6 8
101218,1 3 6 8
196237,1 3 6 8
372306,0 3 5
326397,1 2 5 6 7 8
340470,1 2 5 6 7 8
52307,1 2 5 6 7 8
457809,1 2 5 6 7 8
54657,1 2 4 5 6 7
278157,1 5 6
1884,0 6 8
138938,0 3 5 8
156634,6 8
61353,6 8
429573,5 6 8
51284,5 6 8
345037,5 6 8
384960,5 6 8
287782,5 6 8
101791,8
135844,0 8
404915,0 8
308920,0 8
352520,0 8
35828,0 8
419749,1 3 5 6 7
113302,1 2 4 5 6 7 8
264770,1 2 4 5 6 7 8
16694,1 2 4 5 6 8
370130,1 2 3 5 6 7
314381,1 2 3 5 6 7
6150,1 2 4 5 6 8
308338,1 2 5 6 8
277457,1 2 5 6 8
383281,3 5 6 8
72464,1 2 4 5 6 7
25679,1 2 3 4 5 6 7
119644,1 2 3 4 5 6 7
210551,1 2 3 4 5 6 7
237069,1 2 3 4 5 6 7
64261,1 2 3 4 5 6 7
56887,1 2 4 5 6 7
370580,1 5 6
172301,1 5 6
122871,1 2 3 4 5 6 7
462911,1 2 5 6
442542,1 2 5 6
71556,1 2 5 6
249409,0 1 2 3 5 6 8
27528,6 8
461901,6 8
328087,6 8
356981,6 8
99421,1 2 4 5 6 7
216091,1 2 5 6 8
26434,1 2 4 5 6 7
248666,1 2 4 5 6 7
450774,1 4 5 6 7
270849,1 4 5 6 7
264647,1 2 4 5 6 8
195625,1 2 4 5 6 7
282875,5 8
25156,5 8
10297,5 8
233526,5 8
403317,5 8
21884,5 8
165525,5 8
178285,5 8
131200,0 1 2 6 8
63013,0 1 2 6 8
243541,3 8
437045,1 2 3 4 5 6 7
8487,1 2 3 4 5 6 7
135731,1 2 3 4 5 6 7
232652,1 2 3 4 5 6 7
81991,1 2 3 4 5 6 7
5089,1 2 3 4 5 6 7
450615,1 2 3 5 6
310057,1 2 3 5 6
364755,1 2 4 5 6 7
126921,1 2 4 5 6 7
316699,1 2 4 5 6 7
180612,2 3 5 6 8
183954,2 3 6 8
99181,2 3 6 8
71481,3 8
370800,3 8
205433,1 2 3 5 6 7 8
330071,1 2 3 5 6 7 8
121073,1 2 4 5 6
255476,1 2 4 5 6 7
161465,1 2 4 5 6 7
4007,2 3 4 5 6 7 8
410466,0 5 8
315469,0 5 8
195342,3 5 8
214679,1 2 3 5 6 7
287223,1 2 4 5 6
78645,1 2 4 5 6
86644,1 2 4 5 6 7
80357,0 6 8
109480,2 3 4 5 6 7 8
274014,0 6 8
117281,0 6 8
230833,1 2 4 5 6 8
396405,0 1 8
151041,1 2 4 5 6 8
265654,1 2 4 5 6 8
361267,1 2 3 4 5 6 7
181058,3
433474,0 1 2 5 6 8
300374,0 3 5
419719,0 3 8
424715,0 3 8
116243,0 3 8
4891,0 3 8
266806,0 3 8
217321,3 5 6 8
217832,3 5 6 8
350903,3 5 6 8
91718,3 5 6 8
24277,3 5 6 8
183130,3 5 6 8
379290,3 5 6 8
88916,0 3 5 8
128060,0 3 5 8
111922,1 2 3 5 6
430706,1 2 3 4 5 6
104365,1 2 3 4 5 6
331852,1 2 5 6 8
31653,1 2 3 4 5 6 7
331766,1 5 6
224930,1 5 6
219836,5 8
421785,5 8
444573,5 8
336914,5 8
449504,1 5 6
187768,1 5 6
463686,1 2 3 4 5 6 7
37137,1 2 3 4 5 6 7
459273,1 2 3 4 5 6 7
367302,1 2 3 4 5 6 7
110389,2 3 5 6 8
190879,3 8
554,0 6 8
234866,0 6 8
442353,0 6 8
361098,0 1 2 3 5 6 8
446502,1 2 3 4 5 6 7
178570,0 1 2 5 6 8
269998,5 8
375453,3 8
63790,5 6 8
376171,5 6 8
68812,3 6 8
280416,0 8
165060,0 3 8
231007,0 3 8
207040,0 3 8
323532,0 3 8
346431,1 2 4 5 6 7
421736,1 2 4 5 6 7
427062,1 2 4 5 6 7
352825,1 2 4 5 6 7
110204,1 2 4 5 6 7
98345,1 2 4 5 6 7
375827,1 2 3 4 5 6 7
325120,1 2 3 5 6 7 8
391738,1 2 3 5 6 7 8
150611,6 8
350218,1 2 3 4 5 6 7
423418,1 2 3 4 5 6
70737,1 2 3 4 5 6
1948,5 8
415136,5 8
441239,5 8
278630,5 8
338282,5 8
258129,5 8
263676,5 8
426082,5 8
203906,5 8
349488,5 8
133521,5 8
439991,5 8
149476,5 8
17992,5 8
468665,2 3 5 6 8
253977,2 3 4 5 6 7 8
290879,0 8
220195,1 2 3 5 6 7
467094,0 3 8
164817,0 3 8
74707,0 3 8
457078,1 2 3 4 5 6
438990,1 2 3 4 5 6
281149,1 2 3 4 5 6
310070,1 2 4 5 6
200106,1 2 4 5 6
446771,6 8
305439,3 8
67819,8
460946,8
321136,1 3 6 8
395219,1 3 6 8
132538,1 3 6 8
156047,1 2 4 5 6 7 8
235949,1 3 6 8
226288,1 2 4 5 6 7
146136,1 2 4 5 6 7
141848,1 2 4 5 6 7
339237,1 2 4 5 6 7
305557,1 2 4 5 6 7
286393,1 2 4 5 6 7
301503,1 2 4 5 6 7
407653,1 2 4 5 6 7
427615,0 1 5 6
350124,0 3 5 8
220983,0 3 5 8
230984,1 2 5 6 8
268423,1 2 4 5 6 7
379155,1 2 4 5 6 7
436930,1 2 4 5 6 7
183319,1 2 4 5 6 7
371830,1 2 4 5 6 7
58181,1 2 3 5 6 7
311174,1 2 4 5 6 7
211853,1 2 5 6 8
99871,1 2 5 6 8
401932,1 2 5 6 8
32585,0 2 3 5 6 8
379754,1 2 3 5 6 7 8
230541,1 2 3 5 6 7 8
409369,1 2 3 4 5 6 7
374862,1 2 3 4 5 6 7
252869,1 2 3 4 5 6 7
178474,1 2 3 4 5 6 7
443949,1 2 3 4 5 6 7
117438,1 2 3 4 5 6 7
351405,1 2 3 4 5 6 7
86690,1 2 4 5 6
252773,1 2 4 5 6
332354,1 2 4 5 6
210024,5 8
358512,1 2 4 5 6
397895,1 2 4 5 6
10630,1 2 4 5 6
236310,1 2 4 5 6
21177,1 2 4 5 6
343838,1 2 4 5 6
72653,2 3 5 6
183211,2 3 5 6
10608,0 1 2 6 8
236374,0 1 2 6 8
269376,0 6 8
453095,1 2 4 5 6
179924,1 2 4 5 6
89877,1 2 4 5 6
25781,1 2 3 4 5 6 7
209333,1 2 3 4 5 6 7
211464,1 2 4 5 6 7
228158,5 6 8
152576,5 6 8
189041,5 6 8
147802,5 6 8
266638,5 6 8
3313,5 6 8
119269,5 6 8
142807,1 2 3 4 5 6
257165,1 2 3 4 5 6
78454,1 2 3 4 5 6
408141,1 2 3 4 5 6
89731,0 3 8
242743,0 3 8
161404,1 2 4 5 6
183442,1 2 3 4 5 6 7
289077,1 2 3 4 5 6 7
153069,1 2 3 4 5 6 7
448024,0 8
329333,0 2 3 5 6 8
183829,0 2 3 5 6 8
439930,1 2 4 5 6 7
33076,1 2 4 5 6 7
4370,5 8
95076,1 2 4 5 6 7
28010,2 3 8
228338,1 2 4 5 6 7
23621,1 2 4 5 6 7
156747,1 2 3 4 5 6
41110,0 1 6 8
253935,0 1 6 8
56693,0 1 6 8
191527,0 1 6 8
435969,0 8
453554,0 3 8
32645,1 2 4 5 6 7
376432,1 2 4 5 6 7
104252,1 2 4 5 6 7
275009,1 2 4 5 6 7
432518,0 1 8
189520,3 8
267625,1 2 3 4 5 6 7
38551,1 2 3 4 5 6 7
16429,1 2 3 4 5 6 7
10622,1 2 3 4 5 6 7
364264,1 2 3 4 5 6 7
78725,1 2 3 4 5 6 7
287385,1 2 3 5 6
450182,0 1 8
60734,6 8
72048,1 2 3 4 5 6 7
114485,1 2 3 4 5 6 7
77038,1 2 3 4 5 6 7
293894,1 2 3 4 5 6 7
432319,1 2 3 4 5 6 7
459814,1 2 3 4 5 6 7
96853,0 1 2 5 6 8
24540,1 2 5 6 7
279542,1 2 5 6 7
291691,1 2 5 6 7
376932,1 2 5 6 7
99076,1 2 3 4 5 6 7
18443,1 2 3 4 5 6 7
219300,1 2 3 4 5 6 7
32104,1 2 3 4 5 6 7
253231,1 2 3 4 5 6 7
242833,1 2 3 4 5 6 7
309509,1 2 3 4 5 6 7
398073,1 2 4 5 6 7 8
93629,1 2 4 5 6 7 8
194843,1 2 4 5 6 7 8
246915,1 2 4 5 6 7 8
69560,1 2 3 4 5 6 7
1072,1 2 3 4 5 6 7
355971,1 2 3 4 5 6 7
241832,1 2 3 4 5 6 7
176583,1 2 3 4 5 6 7
270026,1 2 3 4 5 6 7
444087,1 2 3 4 5 6 7
356513,1 2 3 4 5 6 7
92419,1 2 3 4 5 6 7
5435,0 8
444350,0 8
293224,5 6 8
376639,1 2 4 5 6 7
363981,1 2 3 4 5 6 7
448698,1 2 3 4 5 6 7
28457,1 2 4 5 6 8
234117,1 2 3 4 5 6 7
23953,1 2 3 4 5 6 7
316285,1 2 3 5 6 7 8
324105,1 2 3 4 5 6 7
442127,1 2 3 4 5 6 7
426952,6 8
243329,6 8
454930,5 6 8
329927,5 6 8
222454,5 6 8
445551,3 6 8
284532,0 1 3 8
211494,0 1 3 8
170110,0 3 8
345444,3 8
160598,1 2 4 5 6 7
353896,0 1 3 5 6 8
392805,1 2 3 4 5 6 7
196619,0 2 3 5 6
159892,1 2 3 5 6 8
438825,1 2 5 6 8
306570,2 4 5 6 7 8
319056,1 2 3 5 6 7
175108,1 2 4 5 6
26492,1 2 4 5 6
406146,1 2 3 5 6 8
89832,1 2 3 5 6 8
101208,1 2 4 5 6
235941,0 8
323679,1 2 3 4 5 6
218216,2 3 4 5 6
101872,1 2 4 5 6 7 8
304225,1 2 4 5 6 7 8
99205,1 2 4 5 6 7 8
49198,1 2 3 5 6 7
389559,1 2 3 5 6 7
432461,1 2 3 5 6 7
353222,6 8
40187,1 2 3 5 6 7
380537,0 3 8
408828,0 3 8
282145,0 3 8
142855,1 2 5 6
30579,0 1 2 3 5 6 7 8
128680,1 2 4 5 6 7 8
127151,1 2 4 5 6 7 8
110180,1 2 4 5 6 7
41583,1 2 4 5 6 7
76004,1 2 4 5 6 7
385532,1 2 3 5 6 8
371864,1 2 3 4 5 6
423715,1 2 3 5 6 8
463246,1 2 3 5 6 8
286102,1 2 3 5 6 8
123271,1 2 3 4 5 6
45162,1 2 3 4 5 6
167032,1 2 3 4 5 6 7
299874,1 2 3 4 5 6 7
328833,1 2 3 4 5 6 7
411455,1 2 3 4 5 6 7
374314,1 2 3 4 5 6 7
408794,1 2 3 4 5 6 7
1413,2 4 5 6
54346,2 3 5 6 8
39350,2 3 5 6 8
216163,0 8
81413,0 8
237551,0 8
321604,6 8
440885,6 8
251940,6 8
194757,6 8
97186,6 8
98470,6 8
23904,6 8
259637,6 8
337802,6 8
426660,1 2 4 5 6 7
280210,1 2 3 4 5 6
140178,6 8
234480,1 2 3 4 5 6
91245,1 2 5 6 8
236607,1 2 3 4 5 6
422754,1 2 3 4 5 6
98526,1 2 3 4 5 6
6177,1 2 3 4 5 6
47467,0 3 8
145761,1 2 4 5 6 7
266586,1 2 4 5 6 7
296381,1 2 3 4 5 6
369771,1 2 3 4 5 6
272772,1 2 3 4 5 6
451763,1 2 3 5 6 7
245775,1 2 3 5 6 7
32520,1 2 3 4 5 6
196062,1 2 3 4 5 6 7
232337,1 2 5 6 8
347792,1 2 5 6 8
415755,1 2 5 6 8
66801,2 3 4 5 6 7
171114,1 2 4 5 6
320526,1 2 3 4 5 6 7
314001,1 2 4 5 6
237558,1 2 4 5 6
359844,1 2 4 5 6
20322,1 2 4 5 6
348338,1 2 4 5 6
351100,1 2 4 5 6
127164,3 5 8
17230,3 5 8
50134,3 5
391647,0 3 8
151750,1 2 4 5 6 8
63688,1 2 4 5 6 7
403629,1 2 4 5 6 7
264426,1 2 4 5 6 7
84183,1 2 4 5 6 7
134829,1 2 4 5 6
375768,1 2 4 5 6
2783,2 3 5 6 8
385776,2 3 5 6 8
397690,2 5 6 8
419558,2 5 6 8
120662,0 5 8
93858,1 2 5 6 7 8
16439,0 3 5 8
332306,0 2 3 6 8
417166,0 2 3 6 8
144606,1 2 4 5 6 7
299652,1 2 4 5 6 7
94586,3 8
98157,0 3 8
298536,0 1 6 8
43122,1 2 3 4 5 6
459595,1 2 3 4 5 6
17024,0 8
283852,0 8
165582,0 8
293740,8
27630,3 6 8
168705,0 8
369190,0 8
349068,1 2 5 6 8
110558,1 2 5 6 8
63959,1 2 5 6 8
255578,1 2 5 6 8
156098,1 2 4 5 6 7
143092,1 2 4 5 6 7
180308,0 2 3 5 8
269632,0 2 3 5 8
101614,6 8
5409,6 8
242052,0 2 3 5 8
261614,0 1 2 4 5 6 8
232909,0 1 2 4 5 6 8
314749,2 5 6
169182,1 3 4 5 6
150373,2 3 4 5 6 7 8
356447,1 2 3 5 6
385204,1 2 5 6 7
87133,1 2 5 6 7
403414,1 2 5 6 7
80845,1 2 5 6 7
121552,3 6 8
295233,6 8
377307,2 5 6 8
104909,2 5 6 8
98953,2 5 6 8
127867,2 5 6 8
53202,2 5 6 8
358433,6 8
287794,0 5 6
359665,8
150443,1 2 4 5 6 7
8802,1 2 4 5 6 7
179281,0 2 5 6 7 8
68272,0 2 5 6 7 8
364150,1 2 5 6 8
242845,1 2 5 6 8
452112,0 3 8
225120,3 8
191990,3 8
194754,3 8
14311,6 8
256128,0 2 5 6 8
466651,0 3 5 8
26005,1 2 4 5 6 7
67182,1 2 3 5 6 7
313102,1 2 3 5 6 7
54508,1 2 3 5 6 7
265008,1 2 3 5 6 7
338475,0 1 2 6 8
13033,1 2 3 5 6 7
129722,1 2 3 5 6 7
220875,1 2 3 5 6 7
93386,1 2 3 5 6 7
255677,1 2 3 5 6 7
107479,1 2 3 5 6 7
60932,1 2 5 6 7
23492,1 2 5 6 7
301527,1 2 3 4 5 6 7
49431,1 2 3 4 5 6 7
407187,0 1 8
356336,0 3 5 8
79487,0 2 5 6 8
185885,0 2 5 6 8
89595,0 2 5 6 8
127330,0 1 2 6 8
208684,5 8
317407,1 2 3 4 5 6 8
387497,1 2 3 5 6 7
